product,sub-product,issue,consumer-message,resolution
Credit reporting,,Incorrect information on credit report,I have outdated information on my credit report that I have previously disputed that has yet to be removed this information is more then seven years old and does not meet credit reporting requirements,Closed with explanation
Consumer Loan,Vehicle loan,Managing the loan or lease,"I purchased a new car on XXXX XXXX. The car dealer called Citizens Bank to get a 10 day payoff on my loan, good till XXXX XXXX. The dealer sent the check the next day. When I balanced my checkbook on XXXX XXXX. I noticed that Citizens bank had taken the automatic payment out of my checking account at XXXX XXXX XXXX Bank. I called Citizens and they stated that they did not close the loan until XXXX XXXX. ( stating that they did not receive the check until XXXX. XXXX. ). I told them that I did not believe that the check took that long to arrive. XXXX told me a check was issued to me for the amount overpaid, they deducted additional interest. Today ( XXXX XXXX, ) I called Citizens Bank again and talked to a supervisor named XXXX, because on XXXX XXXX. I received a letter that the loan had been paid in full ( dated XXXX, XXXX ) but no refund check was included. XXXX stated that they hold any over payment for 10 business days after the loan was satisfied and that my check would be mailed out on Wed. the XX/XX/XXXX.. I questioned her about the delay in posting the dealer payment and she first stated that sometimes it takes 3 or 4 business days to post, then she said they did not receive the check till XXXX XXXX I again told her that I did not believe this and asked where is my money. She then stated that they hold the over payment for 10 business days. I asked her why, and she simply said that is their policy. I asked her if I would receive interest on my money and she stated no. I believe that Citizens bank is deliberately delaying the posting of payment and the return of consumer 's money to make additional interest for the bank. If this is not illegal it should be, it does hurt the consumer and is not ethical. My amount of money lost is minimal but if they are doing this on thousands of car loans a month, then the additional interest earned for them could be staggering. I still have another car loan from Citizens Bank and I am afraid when I trade that car in another year I will run into the same problem again.",Closed with explanation
Credit reporting,,Credit reporting company's investigation,"An account on my credit report has a mistaken date. I mailed in a debt validation letter to allow XXXX to correct the information. I received a letter in the mail, stating that Experian received my correspondence and found it to be   suspicious '' and that   I did n't write it ''. Experian 's letter is worded to imply that I am incapable of writing my own letter. I was deeply offended by this implication. 
I called Experian to figure out why my letter was so suspicious. I spoke to a representative who was incredibly unhelpful, She did not effectively answer any questions I asked of her, and she kept ignoring what I was saying regarding the offensive letter and my dispute process. I feel the representative did what she wanted to do, and I am not satisfied. It is STILL not clear to me why I received this letter. I typed this letter, I signed this letter, and I paid to mail this letter, yet Experian willfully disregarded my lawful request. 
I am disgusted with this entire situation, and I would like for my dispute to be handled appropriately, and I would like for an Experian representative to contact me and give me a real explanation for this letter.",Closed with explanation
Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,This company refuses to provide me verification and validation of debt per my right under the FDCPA. I do not believe this debt is mine.,Closed with explanation
Debt collection,Credit card,Improper contact or sharing of info,"This complaint is in regards to Square Two Financial. Refer to CFPB case number XXXX regarding CACH, L. L. C. Square Two Financial has utilized my entire social security number to include date of birth on the pfd document listed with this complaint. The initial complaint was with CACH, L. L. C. and not Square Two Financial. This is in breach of the following : 1. Identity Theft Assumption and Deterrence Act of XXXX 2. Privacy Act of XXXX XXXX. Social Security XXXX 4. XXXX Privacy Act-which carries a maximum XXXX fine for each calendar cap year. 
5. Breach of Title XXXX, XXXX XXXX XXXX XXXX under XXXX and XXXX The solution is to have CACH, L.L.C handle this correction and not Square Two Financial. Two Square Financial submitted the XXXX XXXX XXXX with their subscriber name on the form listed on CFPB case # XXXX they are rendered liable in this matter. In addition, there is an account number associated with this Universal Data Form and they could use that account number instead of a SSN and DOB which is against XXXX XXXX XXXX This is also includes removal of the XXXX XXXX Form off of CFPB case # XXXX listed as a pdf document attached to this case number. Square Two Financial was contacted at XXXXXXXXXXXX as of XXXX/XXXX/XXXX by e-mail in regards to this matter. In addition, all of my information is not for sale and distribution via fax, fax-scanned, copied, stored in a retrieval system, recorded, transmitted digitally or electronically without my expressed written consent. This information is protected under copyright and publishing laws of XXXX XXXX and XXXX XXXX. This information is protected under the XXXX XXXX XXXX XXXX XXXX under the freedom of speech under XXXX XXXX XXXX to include the Uniform Commercial Codes XXXX and XXXX. These rights are reserved world wide.",Closed with explanation
Mortgage,Conventional fixed mortgage,Settlement process and costs,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",Closed with monetary relief
Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker","In XXXX, I and my ex-husband applied for a refinance & HELOC from Beneficial. The loans were granted. My ex-husband passed away XXXX XXXX. At this time I contacted a lawyer to determine my options for having my husband removed from the title to the property and mortgage. Lawyer took care of having husband removed from the title. I recently attempted to apply for refinance to remove him from the mortgage and take cash out. I learned through an attempt to refinance I was unable to refinance the property due to there is no deed from XXXX found indicating my interest in the property. The only deed filed with the XXXX County Illinois Recorder was in XXXX with the original purchase of the home in which my ex-husband was the only one listed on the deed. Beneficial did file a mortgage on XXXX, XXXX on the property. I am just outraged at this point that I took out a loan on my home, yet it was never deeded in my name as one of the rightful owners. Now I am being denied the ability to refinance at this time because I can not show that I was the rightful owner of this property prior to XXXX/XXXX/XXXX when my children quit claimed their fathers interest to me. I am just sick of this company and the way this company misleads and XXXX over customers. I am technically being forced to remain with this company because I can not secure financing with another reputable company because I have to wait anywhere from 6 - 12months to refinance, because the property I have owned for over 20 years and paying on for over 20years is considered inheritance since it was just quit claimed to me XXXX/XXXX/XXXX.",Closed with explanation
Credit reporting,,Credit reporting company's investigation,"I have disputed several accounts on my credit report with Equifax several times. I first disputed with the original creditors, XXXX, XXXX XXXX, and XXXX XXXX Solutions and after 3 letters did not receive any correspondence with proof. I sent copies of the letters and certified mail receipts to the credit bureau but they continue to verify these debts without copies of any proof with my signature. A statement of dispute was also never put on my credit report. Equifax only continues to update the accounts associated with these creditors.",Closed with explanation
Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account","Mortgage was transferred to Nationstar as of XXXX/XXXX/XXXX. Since then our payments are not posted in a timely manner or for the amount sent. 
for example payment cleared our bank on XXXX/XXXX/XXXX for XXXX per the payment history received from Nationstar the payment was not posted until XXXX/XXXX/XXXX and only for amount of XXXX. 
payment cleared our bank on XXXX/XXXX/XXXX for XXXX but was not posted to our account until XXXX/XXXX/XXXX and only for amount XXXX When our loan was transferred to Nationstar from XXXX we only received a good by letter from XXXX but no welcome package from Nationstar. So had to contact them to make sure the payment amount was the same as XXXX. I was told it was the same so that is what we are sending but they are only posting XXXX Have to call every month to get a payment history as they will not allow use of the website. Try to get information several times as to why it takes so long to post the money and why it is less than we sent. sent them the exact same documents attached and all they will state is they have no record of sending me the history every month and they are posting the money for what we sent. Have been unable to resolve the issue with Nationstar as they are not willing to listen or review the documents I sent to them as proof of what they sent me. Have been calling them every month since XXXX XXXX to get a payment history but they deny sending it each month.",Closed with explanation
Debt collection,Credit card,Taking/threatening an illegal action,"I am writing to request your assistance in looking into the deceptive practices of this collection law-firm above. It appears that they are using tactics that may be violating consumer protection law in debt collection practices depriving consumers of their rights to dispute. 

1 In XXXX XXXX, I received a notice from the above company, The next day, I contacted their offices as instructed -- the memo dated XXXX/XXXX/XXXX instruct me to contact the plaintiff attorney, not the court. I followed the instructions provided and contacted the plaintiff attorney by phone and also faxed a letter on XXXX/XXXX/XXXX disputing the debt ( see letter ). 

2. The company responded with a letter dated XXXX/XXXX/XXXX by sending me a bill with a due date for XXXX. I had requested a bill showing what my balance was back when I made a payment back in XXXX XXXX for {$100.00}. I was disputing the amount owed, disputing the charges. 

3. I wrote back to the company and faxed another dispute letter on XXXX XXXX, XXXX continue to dispute the amount owed. 

4. The company sent me a response on XXXX/XXXX/XXXX saying that they furnished me the information, I was not disputing that I owe XXXX XXXX, I was disputing that the balance was inaccurate and that I needed proof of the last known charges and activity on the account which was XXXX XXXX. In the last paragraph of their letter it indicated that if I was disputing the amount to send a letter and so on.. 

5. On XXXX XXXX, XXXX -- I sent another letter to the company disputing the balance and requesting the documents again. 

The company never responded to my XXXX XXXX letter, they since had not communication with me, until XXXX XXXX XXXX when I received a letter from them with a copy of a DEFAULT judgment that they filed the court clerk 's office indicating that I failed to respond to their judgment. 

Facts:1. The only judgment that the above firm served me with was the original judgment which I am attaching dispute letters showing that I RESPONDED as instructed to their office on XXXX different occasions. 
2. The plaintiff failed to respond to my dispute and furnish the information provided-and was probably unable to obtain proof of the original of the debt3. Instead of using credible legal procedure to settle the debts, they utilized unfaithful and dirty tactics, violated my rights. 
4. Went to the court, committed perjury under the law by filing false documents with the court that I defaulted on the judgment and failed to respond when in fact I responded and they failed to furnish proof. 
5. I went the court house and the clerk 's office, I was told that the company did not notify their offices that they had been in contact with me, instead they the company told the court and clerk 's office that I did not respond to their summons the the clerks office granted them the default judgement based on their false information that I did not respond to their summons. They filed a false affirmation with the clerk 's office.",Closed with explanation
